signature,kind,file_count,num_columns,columns,example_dataset,example_source,department
c677b92cba6e,xml-element,8,9,@Geography | @North_American_Product_Classification_System__NAPCS__Canada_2022_Version | @North_American_Industry_Classification_System__NAICS_ | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,Quarterly retail commodity sales,Dataset#20100071_1.xml#Series,statcan
f343308b4e2e,xml-element,8,13,@Geography | @Trade | @Basis | @Seasonal_adjustment | @Index | @Weighting | @North_American_Product_Classification_System__NAPCS_ | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"International merchandise trade, by commodity, price and volume indexes, annual",Dataset#12100170_1.xml#Series,statcan
25d9a1b597ce,xml-element,8,10,@Geography | @Partner_countries | @Canadian_export_concentration | @Statistics | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,Canadian domestic export concentration,Dataset#12100129_2.xml#Series,statcan
00b057f7f45d,xml-element,8,11,@Geography | @Prices | @Variable | @Sub-sector | @Activity | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,Economic value of volunteering activity,Dataset#36100618_1.xml#Series,statcan
d2d6de594b8f,xml-element,8,9,@Geography | @Seasonal_adjustment | @Industries | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,Jobs generated by tourism,Dataset#36100232_2.xml#Series,statcan
1afde8ce7e1f,xml-element,7,9,@Geography | @Estimates | @Consumption_category | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Household actual final consumption, Canada, provincial and territorial, annual",Dataset#36100609_1.xml#Series,statcan
b2209631267b,csv,7,15,REF_DATE | GEO | DGUID | Commodity | UOM | UOM_ID | SCALAR_FACTOR | SCALAR_ID | VECTOR | COORDINATE | VALUE | STATUS | SYMBOL | TERMINATED | DECIMALS,"Fisher commodity price index, United States dollar terms, Bank of Canada, Fisher commodity price index, United States dollar terms, Bank of Canada, weekly",Dataset#10100143.csv,statcan
7908732ee56c,xml-element,7,8,@Geography | @Central_government_debt | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,Central government debt,Dataset#10100002_1.xml#Series,statcan
34c1635581d6,xml-element,7,9,@Geography | @Variable | @Sub-sector | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,Employment in non-profit institutions by sub-sector,Dataset#36100617_1.xml#Series,statcan
9a23e9fbc2fa,xml-element,7,10,@Geography | @Variable | @Sub-sector | @Activity | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,Employment in non-profit institutions by activity,Dataset#36100615_1.xml#Series,statcan
0c264405447a,xml-element,7,8,@Geography | @Operational_and_financial_statistics | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Operating and financial statistics for major Canadian airlines, monthly",Dataset#23100079_2.xml#Series,statcan
61afbf4f4d68,xml-element,6,10,@Geography | @Trading_partner | @North_American_Product_Classification_System__NAPCS_ | @Trade | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"Canadian international merchandise trade by country and by product section, customs-based, annual",Dataset#12100171_1.xml#Series,statcan
0d6acb51ea53,xml-element,6,9,@Geography | @Trade | @North_American_Product_Classification_System__NAPCS_ | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"International merchandise trade by commodity, chained 2017 dollars, quarterly",Dataset#12100167_1.xml#Series,statcan
c01dc138d2bb,xml-element,6,11,@Geography | @Trade | @Basis | @Seasonal_adjustment | @North_American_Product_Classification_System__NAPCS_ | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"International merchandise trade by commodity, quarterly",Dataset#12100164_1.xml#Series,statcan
e14546ec76c4,xml-element,6,11,@Geography | @Trade | @Basis | @Seasonal_adjustment | @Principal_trading_partners | @VECTOR_ID | @SCALAR_FACTOR | @NB_DECIMAL | @DGUID | @UOM | Obs,"International merchandise trade for all countries and by Principal Trading Partners, quarterly",Dataset#12100127_2.xml#Series,statcan
